id,time,voltage,battery
12,1708735862059,4.2692084,1.0
12,1708735871998,4.2741156,1.0
12,1708735881998,4.2692084,1.0
12,1708735891999,4.2692084,1.0
12,1708735901999,4.2692084,1.0
12,1708735912008,4.2643013,1.0
12,1708735921999,4.2643013,1.0
12,1708735931999,4.2643013,1.0
12,1708735941999,4.2643013,1.0
12,1708735952000,4.2643013,1.0
12,1708735962000,4.2643013,1.0
12,1708735972000,4.2643013,1.0
12,1708735982002,4.2643013,1.0
12,1708735992000,4.2643013,1.0
12,1708736002000,4.2643013,1.0
12,1708736012002,4.2643013,1.0
12,1708736022002,4.259394,1.0
12,1708736032002,4.2643013,1.0
12,1708736042002,4.2643013,1.0
12,1708736052004,4.2643013,1.0
12,1708736062002,4.259394,1.0
12,1708736072002,4.259394,1.0
12,1708736082003,4.259394,1.0
12,1708736092003,4.259394,1.0
12,1708736102005,4.259394,1.0
12,1708736112005,4.259394,1.0
12,1708736122003,4.259394,1.0
12,1708736132003,4.259394,1.0
12,1708736142005,4.259394,1.0
12,1708736152004,4.254487,1.0
12,1708736162004,4.259394,1.0
12,1708736172004,4.259394,1.0
12,1708736182004,4.259394,1.0
12,1708736192004,4.254487,1.0
12,1708736202005,4.254487,1.0
12,1708736212005,4.259394,1.0
12,1708736222005,4.254487,1.0
12,1708736232005,4.254487,1.0
12,1708736242005,4.254487,1.0
12,1708736252005,4.254487,1.0
12,1708736262008,4.254487,1.0
12,1708736272021,4.254487,1.0
12,1708736282009,4.254487,1.0
12,1708736292009,4.254487,1.0
12,1708736302009,4.254487,1.0
12,1708736312010,4.254487,1.0
12,1708736322009,4.254487,1.0
12,1708736332009,4.254487,1.0
12,1708736342011,4.254487,1.0
12,1708736352010,4.2495794,1.0
12,1708736362010,4.254487,1.0
12,1708736372011,4.254487,1.0
12,1708736382010,4.254487,1.0
12,1708736392010,4.2495794,1.0
12,1708736402015,4.2495794,1.0
12,1708736412011,4.2495794,1.0
12,1708736422013,4.2495794,1.0
12,1708736432012,4.2495794,1.0
12,1708736442012,4.2495794,1.0
12,1708736452015,4.2495794,1.0
12,1708736462012,4.2495794,1.0
12,1708736472013,4.2495794,1.0
12,1708736482013,4.2495794,1.0
12,1708736492013,4.2495794,1.0
12,1708736502014,4.2495794,1.0
12,1708736512013,4.2495794,1.0
12,1708736522013,4.2495794,1.0
12,1708736532014,4.2495794,1.0
12,1708736542013,4.2495794,1.0
12,1708736552014,4.2495794,1.0
12,1708736562013,4.2446723,1.0
12,1708736572014,4.2495794,1.0
12,1708736582013,4.2446723,1.0
12,1708736592013,4.2446723,1.0
12,1708736602012,4.2446723,1.0
12,1708736612012,4.2446723,1.0
12,1708736622016,4.2446723,1.0
12,1708736632014,4.2446723,1.0
12,1708736642014,4.2495794,1.0
12,1708736652015,4.2446723,1.0
12,1708736662013,4.2446723,1.0
12,1708736672013,4.2446723,1.0
12,1708736682013,4.2446723,1.0
12,1708736692015,4.2446723,1.0
12,1708736702013,4.2446723,1.0
12,1708736712013,4.239765,1.0
12,1708736722013,4.2446723,1.0
12,1708736732012,4.2446723,1.0
12,1708736742013,4.239765,1.0
12,1708736752013,4.239765,1.0
12,1708736762012,4.239765,1.0
12,1708736772012,4.239765,1.0
12,1708736782012,4.239765,1.0
12,1708736792012,4.239765,1.0
12,1708736802015,4.2446723,1.0
12,1708736812015,4.239765,1.0
12,1708736822013,4.2446723,1.0
12,1708736832013,4.239765,1.0
12,1708736842013,4.2446723,1.0
12,1708736852013,4.239765,1.0
12,1708736862013,4.239765,1.0
12,1708736872013,4.2446723,1.0
12,1708736882013,4.239765,1.0
12,1708736892013,4.239765,1.0
12,1708736902013,4.229951,1.0
12,1708736912013,4.229951,1.0
12,1708736922016,4.239765,1.0
12,1708736932013,4.229951,1.0
12,1708736942013,4.239765,1.0
12,1708736952013,4.229951,1.0
12,1708736962013,4.229951,1.0
12,1708736972015,4.229951,1.0
12,1708736982014,4.229951,1.0
12,1708736992015,4.229951,1.0
12,1708737002015,4.229951,1.0
12,1708737012017,4.229951,1.0
12,1708737022020,4.229951,1.0
12,1708737032015,4.229951,1.0
12,1708737042016,4.229951,1.0
12,1708737052016,4.229951,1.0
12,1708737062016,4.229951,1.0
12,1708737072052,4.229951,1.0
12,1708737082016,4.229951,1.0
12,1708737092016,4.229951,1.0
12,1708737102016,4.229951,1.0
12,1708737112016,4.225044,1.0
12,1708737122019,4.225044,1.0
12,1708737132017,4.225044,1.0
12,1708737142016,4.225044,1.0
12,1708737152018,4.225044,1.0
12,1708737162018,4.225044,1.0
12,1708737172018,4.225044,1.0
12,1708737182018,4.225044,1.0
12,1708737192017,4.225044,1.0
12,1708737202018,4.225044,1.0
12,1708737212018,4.225044,1.0
12,1708737222018,4.225044,1.0
12,1708737232020,4.225044,1.0
12,1708737242019,4.2201366,1.0
12,1708737252018,4.225044,1.0
12,1708737262018,4.225044,1.0
12,1708737272018,4.2201366,1.0
12,1708737282018,4.2201366,1.0
12,1708737292019,4.2201366,1.0
12,1708737302019,4.2201366,1.0
12,1708737312019,4.2201366,1.0
12,1708737322019,4.2201366,1.0
12,1708737332023,4.2201366,1.0
12,1708737342021,4.2201366,1.0
12,1708737352021,4.2201366,1.0
12,1708737362021,4.2201366,1.0
12,1708737372021,4.2201366,1.0
12,1708737382021,4.2201366,1.0
12,1708737392022,4.2201366,1.0
12,1708737402021,4.2201366,1.0
12,1708737412022,4.2201366,1.0
12,1708737422022,4.2201366,1.0
12,1708737432022,4.2201366,1.0
12,1708737442024,4.2201366,1.0
12,1708737452022,4.2201366,1.0
12,1708737462023,4.2201366,1.0
12,1708737472023,4.2201366,1.0
12,1708737482022,4.2152295,1.0
12,1708737492024,4.2201366,1.0
12,1708737502024,4.2201366,1.0
12,1708737512023,4.2201366,1.0
12,1708737522024,4.2201366,1.0
12,1708737532024,4.2201366,1.0
12,1708737542023,4.2152295,1.0
12,1708737552025,4.2201366,1.0
12,1708737562024,4.2152295,1.0
12,1708737572024,4.2152295,1.0
12,1708737582024,4.2152295,1.0
12,1708737592027,4.2152295,1.0
12,1708737602024,4.2152295,1.0
12,1708737612024,4.2152295,1.0
12,1708737622025,4.2152295,1.0
12,1708737632024,4.2152295,1.0
12,1708737642024,4.2152295,1.0
12,1708737652029,4.2152295,1.0
12,1708737662026,4.2152295,1.0
12,1708737672026,4.2152295,1.0
12,1708737682027,4.2152295,1.0
12,1708737692025,4.2152295,1.0
12,1708737702025,4.2103224,1.0
12,1708737712025,4.2152295,1.0
12,1708737722025,4.2103224,1.0
12,1708737732025,4.2103224,1.0
12,1708737742025,4.2103224,1.0
12,1708737752026,4.2103224,1.0
12,1708737762027,4.2152295,1.0
12,1708737772026,4.2103224,1.0
12,1708737782026,4.2103224,1.0
12,1708737792026,4.2103224,1.0
12,1708737802026,4.2103224,1.0
12,1708737812026,4.2103224,1.0
12,1708737822026,4.2103224,1.0
12,1708737832026,4.2103224,1.0
12,1708737842028,4.2103224,1.0
12,1708737852028,4.2103224,1.0
12,1708737862028,4.2103224,1.0
12,1708737872029,4.2103224,1.0
12,1708737882028,4.2103224,1.0
12,1708737892029,4.2103224,1.0
12,1708737902029,4.2103224,1.0
12,1708737912029,4.2103224,1.0
12,1708737922029,4.2103224,1.0
12,1708737932030,4.2103224,1.0
12,1708737942029,4.2103224,1.0
12,1708737952029,4.2103224,1.0
12,1708737962031,4.2103224,1.0
12,1708737972029,4.2103224,1.0
12,1708737982029,4.2103224,1.0
12,1708737992029,4.2103224,1.0
12,1708738002032,4.2103224,1.0
12,1708738012029,4.2054152,1.0
12,1708738022029,4.2103224,1.0
12,1708738032029,4.2054152,1.0
12,1708738042030,4.2103224,1.0
12,1708738052029,4.2054152,1.0
12,1708738062029,4.2103224,1.0
12,1708738072030,4.2103224,1.0
12,1708738082032,4.2054152,1.0
12,1708738092030,4.2054152,1.0
12,1708738102030,4.2054152,1.0
12,1708738112034,4.2054152,1.0
12,1708738122030,4.2054152,1.0
12,1708738132030,4.2054152,1.0
12,1708738142030,4.2054152,1.0
12,1708738152032,4.2054152,1.0
12,1708738162030,4.2054152,1.0
12,1708738172031,4.2054152,1.0
12,1708738182030,4.2054152,1.0
12,1708738192031,4.2054152,1.0
12,1708738202031,4.2054152,1.0
12,1708738212031,4.2054152,1.0
12,1708738222031,4.2054152,1.0
12,1708738232033,4.2054152,1.0
12,1708738242031,4.2054152,1.0
12,1708738252032,4.200508,1.0
12,1708738262031,4.2054152,1.0
12,1708738272031,4.200508,1.0
12,1708738282032,4.200508,1.0
12,1708738292036,4.2054152,1.0
12,1708738302032,4.200508,1.0
12,1708738312031,4.2054152,1.0
12,1708738322032,4.200508,1.0
12,1708738332032,4.200508,1.0
12,1708738342032,4.200508,1.0
12,1708738352032,4.200508,1.0
12,1708738362032,4.200508,1.0
12,1708738372032,4.200508,1.0
12,1708738382033,4.200508,1.0
12,1708738392032,4.200508,1.0
12,1708738402035,4.200508,1.0
12,1708738412034,4.200508,1.0
12,1708738422033,4.200508,1.0
12,1708738432033,4.200508,1.0
12,1708738442033,4.200508,1.0
12,1708738452033,4.200508,1.0
12,1708738462033,4.200508,1.0
12,1708738472033,4.200508,1.0
12,1708738482033,4.200508,1.0
12,1708738492033,4.200508,1.0
12,1708738502033,4.200508,1.0
12,1708738512034,4.195601,1.0
12,1708738522034,4.195601,1.0
12,1708738532034,4.195601,1.0
12,1708738542034,4.200508,1.0
12,1708738552034,4.195601,1.0
12,1708738562034,4.195601,1.0
12,1708738572036,4.200508,1.0
12,1708738582036,4.195601,1.0
12,1708738592035,4.200508,1.0
12,1708738602036,4.195601,1.0
12,1708738612038,4.195601,1.0
12,1708738622036,4.195601,1.0
12,1708738632037,4.195601,1.0
12,1708738642037,4.195601,1.0
12,1708738652037,4.195601,1.0
12,1708738662037,4.195601,1.0
12,1708738672037,4.195601,1.0
12,1708738682038,4.195601,1.0
12,1708738692038,4.195601,1.0
12,1708738702038,4.195601,1.0
12,1708738712039,4.190694,1.0
12,1708738722041,4.195601,1.0
12,1708738732039,4.195601,1.0
12,1708738742040,4.190694,1.0
12,1708738752042,4.195601,1.0
12,1708738762041,4.195601,1.0
12,1708738772041,4.190694,1.0
12,1708738782040,4.195601,1.0
12,1708738792041,4.190694,1.0
12,1708738802042,4.190694,1.0
12,1708738812064,4.190694,1.0
12,1708738822046,4.190694,1.0
12,1708738832043,4.195601,1.0
12,1708738842044,4.195601,1.0
12,1708738852043,4.195601,1.0
12,1708738862043,4.190694,1.0
12,1708738872044,4.190694,1.0
12,1708738882044,4.190694,1.0
12,1708738892046,4.190694,1.0
12,1708738902069,4.190694,1.0
12,1708738912045,4.190694,1.0
12,1708738922044,4.190694,1.0
12,1708738932046,4.190694,1.0
12,1708738942047,4.190694,1.0
12,1708738952047,4.190694,1.0
12,1708738962052,4.190694,1.0
12,1708738972047,4.190694,1.0
12,1708738982047,4.190694,1.0
12,1708738992048,4.190694,1.0
12,1708739002048,4.1857867,1.0
12,1708739012048,4.190694,1.0
12,1708739022049,4.190694,1.0
12,1708739032049,4.1857867,1.0
12,1708739042050,4.190694,1.0
12,1708739052052,4.1857867,1.0
12,1708739062051,4.1857867,1.0
12,1708739072051,4.190694,1.0
12,1708739082053,4.1857867,1.0
12,1708739092053,4.1857867,1.0
12,1708739102053,4.1857867,1.0
12,1708739112053,4.190694,1.0
12,1708739122053,4.1857867,1.0
12,1708739132055,4.1857867,1.0
12,1708739142053,4.1857867,1.0
12,1708739152054,4.1857867,1.0
12,1708739162057,4.1808796,1.0
12,1708739172057,4.1857867,1.0
12,1708739182055,4.1857867,1.0
12,1708739192055,4.1857867,1.0
12,1708739202056,4.1857867,1.0
12,1708739212056,4.1808796,1.0
12,1708739222057,4.1857867,1.0
12,1708739232057,4.1808796,1.0
12,1708739242058,4.1857867,1.0
12,1708739252058,4.1857867,1.0
12,1708739262058,4.1857867,1.0
12,1708739272059,4.1808796,1.0
12,1708739282060,4.1808796,1.0
12,1708739292059,4.1808796,1.0
12,1708739302061,4.1808796,1.0
12,1708739312061,4.1808796,1.0
12,1708739322061,4.1808796,1.0
12,1708739332062,4.1857867,1.0
12,1708739342063,4.1808796,1.0
12,1708739352062,4.1808796,1.0
12,1708739362063,4.1808796,1.0
12,1708739372067,4.1808796,1.0
12,1708739382063,4.1808796,1.0
12,1708739392066,4.1808796,1.0
12,1708739402065,4.1808796,1.0
12,1708739412066,4.1710653,1.0
12,1708739422092,4.1808796,1.0
12,1708739432066,4.1808796,1.0
12,1708739442066,4.1808796,1.0
12,1708739452069,4.1808796,1.0
12,1708739462067,4.1808796,1.0
12,1708739472068,4.1808796,1.0
12,1708739482068,4.1808796,1.0
12,1708739492068,4.1808796,1.0
12,1708739502069,4.1710653,1.0
12,1708739512069,4.1710653,1.0
12,1708739522070,4.1808796,1.0
12,1708739532071,4.1808796,1.0
12,1708739542071,4.1808796,1.0
12,1708739552071,4.1808796,1.0
12,1708739562072,4.1710653,1.0
12,1708739572074,4.1710653,1.0
12,1708739582072,4.1808796,1.0
12,1708739592073,4.1710653,1.0
12,1708739602076,4.1808796,1.0
12,1708739612075,4.1710653,1.0
12,1708739622074,4.1710653,1.0
12,1708739632079,4.1710653,1.0
12,1708739642075,4.1808796,1.0
12,1708739652076,4.1710653,1.0
12,1708739662076,4.1710653,1.0
12,1708739672076,4.1710653,1.0
12,1708739682076,4.1710653,1.0
12,1708739692078,4.1710653,1.0
12,1708739702077,4.1710653,1.0
12,1708739712079,4.1710653,1.0
12,1708739722078,4.1710653,1.0
12,1708739732078,4.1710653,1.0
12,1708739742087,4.1710653,1.0
12,1708739752079,4.1710653,1.0
12,1708739762081,4.1710653,1.0
12,1708739772081,4.1710653,1.0
12,1708739782081,4.1710653,1.0
12,1708739792081,4.1710653,1.0
12,1708739802082,4.1710653,1.0
12,1708739812085,4.1710653,1.0
12,1708739822083,4.1710653,1.0
12,1708739832083,4.1710653,1.0
12,1708739842083,4.1710653,1.0
12,1708739852083,4.1710653,1.0
12,1708739862084,4.166158,0.9967647
12,1708739872085,4.1710653,1.0
12,1708739882085,4.1710653,1.0
12,1708739892085,4.166158,0.9967647
12,1708739902086,4.1710653,1.0
12,1708739912086,4.166158,0.9967647
12,1708739922087,4.166158,0.9967647
12,1708739932100,4.1710653,1.0
12,1708739942089,4.166158,0.9967647
12,1708739952088,4.1710653,1.0
12,1708739962090,4.1710653,1.0
12,1708739972089,4.166158,0.9967647
12,1708739982089,4.166158,0.9967647
12,1708739992090,4.166158,0.9967647
12,1708740002091,4.166158,0.9967647
12,1708740012090,4.166158,0.9967647
12,1708740022093,4.166158,0.9967647
12,1708740032092,4.166158,0.9967647
12,1708740042093,4.166158,0.9967647
12,1708740052093,4.166158,0.9967647
12,1708740062093,4.166158,0.9967647
12,1708740072095,4.166158,0.9967647
12,1708740082095,4.166158,0.9967647
12,1708740092094,4.161251,0.99263245
12,1708740102098,4.166158,0.9967647
12,1708740112095,4.166158,0.9967647
12,1708740122096,4.166158,0.9967647
12,1708740132096,4.166158,0.9967647
12,1708740142097,4.166158,0.9967647
12,1708740152099,4.166158,0.9967647
12,1708740162098,4.166158,0.9967647
12,1708740172098,4.161251,0.99263245
12,1708740182099,4.161251,0.99263245
12,1708740192099,4.166158,0.9967647
12,1708740202099,4.166158,0.9967647
12,1708740212101,4.161251,0.99263245
12,1708740222100,4.166158,0.9967647
12,1708740232101,4.161251,0.99263245
12,1708740242102,4.166158,0.9967647
12,1708740252104,4.166158,0.9967647
12,1708740262103,4.166158,0.9967647
12,1708740272121,4.166158,0.9967647
12,1708740282104,4.166158,0.9967647
12,1708740292104,4.161251,0.99263245
12,1708740302105,4.161251,0.99263245
12,1708740312107,4.161251,0.99263245
12,1708740322106,4.166158,0.9967647
12,1708740332107,4.166158,0.9967647
12,1708740342107,4.161251,0.99263245
12,1708740352108,4.161251,0.99263245
12,1708740362110,4.161251,0.99263245
12,1708740372108,4.161251,0.99263245
12,1708740382110,4.166158,0.9967647
12,1708740392109,4.161251,0.99263245
12,1708740402110,4.161251,0.99263245
